time_and_date,air_pressure,temperature,wind_direction,humidity,wind_speed,precipitation,soil_moisture,flood_risk
2024-09-19 15:16:22,990.09,21.17,350.97,88.35,9.1,853.93,63.13,High
2024-09-19 15:17:01,1035.24,32.16,296.2,42.82,2.33,755.13,60.72,High
2024-09-19 15:17:20,1018.12,13.19,109.36,70.13,14.83,690.13,16.79,Low
2024-09-19 15:17:26,1012.84,56.66,288.22,87.36,11.12,994.52,39.88,High
2024-09-19 15:17:41,1010.43,1.92,17.62,69.69,12.14,565.79,11.66,Low
2024-09-19 15:17:53,997.24,55.0,309.52,48.77,2.41,401.93,45.72,Low
2024-09-19 15:17:56,1027.22,-7.75,188.95,61.0,14.35,487.23,10.28,Low
2024-09-19 15:18:02,1001.04,-9.41,189.68,57.52,11.65,186.5,63.6,Low
2024-09-19 15:18:29,1026.88,-3.06,262.95,54.0,5.77,227.6,69.39,Low
2024-09-19 15:18:50,1038.53,36.26,264.41,30.91,10.12,876.55,54.03,High
2024-09-19 15:18:59,1004.28,45.1,173.36,83.09,11.88,187.24,50.25,Low
2024-09-19 15:19:11,1011.21,24.7,94.8,70.07,9.13,255.4,13.6,Low
2024-09-19 15:19:17,1023.87,-8.7,42.81,49.78,17.35,958.87,40.34,High
2024-09-19 15:19:35,1032.03,22.14,311.09,76.37,1.24,292.35,55.37,Low
2024-09-19 15:19:44,1032.22,-1.48,271.04,36.25,15.16,412.81,42.62,Low
2024-09-19 15:19:47,1008.89,-3.44,95.88,54.68,5.96,148.23,39.48,Low
2024-09-19 15:19:50,1023.67,-0.65,139.29,58.44,14.01,761.39,51.36,High
2024-09-19 15:19:53,1035.19,13.7,75.29,54.46,19.38,604.58,50.17,Moderate
2024-09-19 15:19:59,1018.84,11.06,152.5,62.23,7.86,404.76,55.76,Low
2024-09-19 15:20:02,1018.4,-0.51,261.48,89.6,14.1,809.73,64.81,High
2024-09-19 15:20:05,1017.07,28.84,271.1,69.63,19.72,546.36,56.26,Moderate
2024-09-19 15:20:42,1035.8,23.48,93.7,54.01,3.83,528.54,31.95,Moderate
2024-09-19 15:20:51,1017.84,-1.05,138.48,52.77,17.06,719.86,51.51,Moderate
2024-09-19 15:20:54,1013.71,40.02,2.78,81.57,4.4,694.74,46.51,Moderate
2024-09-19 15:21:09,991.87,48.03,219.6,38.09,5.42,810.37,23.81,Moderate
2024-09-19 15:21:15,1016.62,46.24,227.38,56.92,14.24,595.14,58.3,Moderate
2024-09-19 15:21:30,1029.05,20.21,283.05,52.61,12.38,570.8,36.96,Moderate
2024-09-19 15:21:36,1004.83,28.3,133.83,52.8,4.27,957.19,47.74,High
2024-09-19 15:21:48,1011.63,35.95,212.47,36.47,8.03,880.07,66.16,High
2024-09-19 15:22:00,985.85,38.71,149.71,73.23,6.59,597.18,41.74,Moderate
2024-09-19 15:22:15,1018.61,6.86,264.39,48.17,9.07,196.22,25.66,Low
2024-09-19 15:22:33,1037.0,44.5,57.07,47.08,17.39,602.45,14.07,Low
